조사일,지역,이삭도열병,흰잎마름병,세균벼알마름병,깨씨무늬병,벼멸구,흰등멸구,혹명나방,먹노린재,잎도열병,잎집무늬마름병,줄무늬잎마름병,벼잎벌레,벼애잎굴파리,벼줄기굴파리,애멸구,끝동매미충,벼물바구미,멸강나방,이화명나방1화기,벼검은줄오갈병,오갈병,이삭누룩병,이화명나방2화기
2015.07.16,무안군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.16,보성군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.008,0.027,0.0,0.0,0.003,,,,
2015.07.16,순천시,,,,0.0,0.0,0.0,0.0,0.01,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.16,신안군,,,,0.0,0.007,0.067,0.008,0.01,0.0,0.01,0.0,0.0,0.0,0.007,0.013,0.0,0.003,0.0,0.0,,,,
2015.07.16,여수시,,,,0.0,0.0,0.0,0.0,0.17,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.16,영광군,,,,0.0,0.0,0.04,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.16,영암군,,,,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.03,0.02,0.0,,,,
2015.07.16,완도군,,,,0.0,0.0,0.11,0.0,0.0,0.01,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.16,장성군,,,,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,,,,
2015.07.16,장흥군,,,,,,0.113,0.02,0.086,0.002,0.04,,,0.02,0.02,0.085,0.045,0.043,,0.02,,,,
2015.07.16,진도군,,,,0.0,0.0,1.56,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.04,0.0,0.0,,,,
2015.07.16,함평군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.16,해남군,,,,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.07.16,화순군,,,,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
